parent, map, numimages, MatchedSizes, Width, Height, CombWidth, CombHeight, IsOutput
coldharbor, manorofrevelryint05_base, 9, True, 256, 256, 768, 768, True
rivenspire, shroudedpass2_base, 9, True, 256, 256, 768, 768, True
craglorn, ateliertwicebornstar_base, 9, True, 256, 256, 768, 768, True
thievesguild, sharktoothgrotto1_base, 9, True, 256, 256, 768, 768, True
shadowfen, mudtreemine_base, 9, True, 256, 256, 768, 768, True
eastmarch, giantsrun_base, 9, True, 256, 256, 768, 768, True
craglorn, skyreachpinnacle_base, 9, True, 256, 256, 768, 768, True
glenumbra, tomboflostkings_base, 9, True, 256, 256, 768, 768, True
tamriel, mundus_base, 4, True, 1024, 1024, 2048, 2048, True
coldharbor, themanorofrevelry_base, 9, True, 256, 256, 768, 768, True
vvardenfell, kaushtarari_base, 9, True, 256, 256, 768, 768, True
reach, vateshransrites01, 9, True, 256, 256, 768, 768, True
justice, banditden4_room1_base, 9, True, 256, 256, 768, 768, True
auridon, thewormsretreat_base, 9, True, 256, 256, 768, 768, True
vvardenfell, cavernsofkogoruhnfw03_base, 9, True, 256, 256, 768, 768, True
skyrim, karthald_base, 9, True, 256, 256, 768, 768, True
summerset, dreamingcave03_base, 9, True, 256, 256, 768, 768, True
southernelsweyr, senchal_base, 25, True, 256, 256, 1280, 1280, True
vvardenfell, nchuleftingth2_base, 9, True, 256, 256, 768, 768, True
summerset, wastencoraldale_base, 25, True, 256, 256, 1280, 1280, True
auridon, catseyequay_base, 9, True, 256, 256, 768, 768, True
clockwork, basilica_01_base, 9, True, 256, 256, 768, 768, True
craglorn, helracitadel_base, 25, True, 256, 256, 1280, 1280, True
justice, banditden4_room2_base, 9, True, 256, 256, 768, 768, True
southernelsweyr, newmooncapper_base, 9, True, 256, 256, 768, 768, True
grahtwood, brackenleaf_base, 9, True, 256, 256, 768, 768, True
grahtwood, karthdar_base, 9, True, 256, 256, 768, 768, True
summerset, ceytarncaveint02b_base, 9, True, 256, 256, 768, 768, True
grahtwood, greymire_base, 9, True, 256, 256, 768, 768, True
greenshade, falinesticaveupper_base, 9, True, 256, 256, 768, 768, True
battlegrounds, morkhazgur_base, 9, True, 256, 256, 768, 768, True
southernelsweyr, dragonholdisland_base, 9, True, 256, 256, 768, 768, True
deadlands, u32_deadlight_int01a_base, 9, True, 256, 256, 768, 768, True
therift, blessedcrucible5_base, 9, True, 256, 256, 768, 768, True
stormhaven, koeglinvillage_base, 25, True, 256, 256, 1280, 1280, True
alikr, imperviousvault_base, 9, True, 256, 256, 768, 768, True
blackwood, arpeniah2_base, 9, True, 256, 256, 768, 768, True
reapersmarch, planeofjodetemple_base, 9, True, 256, 256, 768, 768, True
reach, nchuandzel_base, 9, True, 256, 256, 768, 768, True
blackwood, u30_silenthalls_cave01_base, 9, True, 256, 256, 768, 768, True
grahtwood, southpoint_base, 9, True, 256, 256, 768, 768, True
auridon, firsthold_base, 25, True, 256, 256, 1280, 1280, True
reach, grayhostbase2ndfloorpast_base, 9, True, 256, 256, 768, 768, True
glenumbra, silumm_base, 9, True, 256, 256, 768, 768, True
deshaan, cauldronmaplava, 9, True, 256, 256, 768, 768, True
cyrodiil, imperialsewershub_base, 36, True, 512, 512, 3072, 3072, True
summerset, summerset_base, 16, True, 512, 512, 2048, 2048, True
murkmire, ui_map_xal-vakka04_base, 9, True, 256, 256, 768, 768, True
darkbrotherhood, castleanvil01_base, 9, True, 256, 256, 768, 768, True
murkmire, deepmire01_base, 9, True, 256, 256, 768, 768, True
